nb_naissances_annee,nb_naissances,code_dep_naissances
2020,13446,76
2021,13600,76
2022,13639,76
2023,12297,76
2024,12252,76
2025,11121,76
2026,10592,76
2016,18868,77
2017,18729,77
2018,18418,77
2019,18585,77
2020,18212,77
2021,18431,77
2022,18239,77
2023,17400,77
2024,17109,77
2025,15976,77
2026,15440,77
2016,18918,78
2017,18537,78
2018,18548,78
2019,18550,78
2020,18141,78
2021,18401,78
2022,18111,78
2023,17291,78
2024,17005,78
2025,15902,78
2026,15379,78
2016,3646,79
2017,3389,79
2018,3381,79
2019,3347,79
2020,3146,79
2021,3267,79
2022,3107,79
2023,2995,79
2024,2847,79
2025,2728,79
2026,2643,79
2016,6126,80
2017,5949,80
2018,5781,80
2019,5591,80
2020,5433,80
2021,5420,80
2022,5579,80
2023,5129,80
2024,5026,80
2025,4836,80
2026,4718,80
2016,3611,81
2017,3421,81
2018,3257,81
2019,3345,81
2020,3213,81
2021,3352,81
2022,3383,81
2023,3044,81
2024,2817,81
2025,2701,81
2026,2581,81
2016,2674,82
2017,2678,82
2018,2550,82
2019,2555,82
2020,2449,82
2021,2660,82
2022,2601,82
2023,2312,82
2024,2222,82
2025,2188,82
2026,2125,82
2016,10656,83
2017,10504,83
2018,10267,83
2019,10516,83
2020,10282,83
2021,10561,83
2022,10677,83
2023,9791,83
2024,9436,83
2025,8300,83
2026,7748,83
2016,6602,84
2017,6442,84
2018,6392,84
2019,6315,84
2020,6231,84
2021,6201,84
2022,6054,84
2023,5483,84
2024,5400,84
2025,4759,84
2026,4463,84
2016,6314,85
2017,6143,85
2018,6106,85
2019,5973,85
2020,5916,85
2021,6043,85
2022,5896,85
2023,5439,85
2024,5143,85
2025,4377,85
2026,4005,85
2016,4281,86
2017,4175,86
2018,4044,86
2019,4084,86
2020,4039,86
2021,4025,86
2022,3999,86
2023,3608,86
2024,3629,86
2025,3330,86
2026,3192,86
2016,3420,87
2017,3368,87
2018,3318,87
2019,3406,87
2020,3288,87
2021,3146,87
2022,3316,87
2023,3115,87
2024,2921,87
2025,2736,87
2026,2617,87
2016,3314,88
2017,3234,88
2018,3202,88
2019,3123,88
2020,2998,88
2021,3076,88
2022,2907,88
2023,2656,88
2024,2655,88
2025,2378,88
2026,2254,88
2016,3403,89
2017,3162,89
2018,3216,89
2019,3172,89
2020,3104,89
2021,2979,89
2022,2990,89
2023,2761,89
