dimensions.GEO,dimensions.EC_MEASURE,dimensions.FREQ,nb_naissances_annee,attributes.OBS_STATUS_FR,nb_naissances,code_dep_naissances
2024-DEP-46,LVB,A,2021,D,1269.0,46
2024-DEP-46,LVB,A,2023,D,1089.0,46
2024-DEP-46,LVB,A,2020,D,1229.0,46
2024-DEP-46,LVB,A,2022,D,1186.0,46
2024-DEP-46,LVB,A,2016,D,1277.0,46
2024-DEP-46,LVB,A,2017,D,1260.0,46
2024-DEP-46,LVB,A,2024,PROV,1072.0,46
2024-DEP-46,LVB,A,2018,D,1304.0,46
2024-DEP-46,LVB,A,2015,D,1248.0,46
2024-DEP-46,LVB,A,2019,D,1230.0,46
2024-DEP-47,LVB,A,2019,D,2984.0,47
2024-DEP-47,LVB,A,2018,D,2960.0,47
2024-DEP-47,LVB,A,2016,D,3084.0,47
2024-DEP-47,LVB,A,2022,D,2884.0,47
2024-DEP-47,LVB,A,2024,PROV,2562.0,47
2024-DEP-47,LVB,A,2017,D,2953.0,47
2024-DEP-47,LVB,A,2020,D,2892.0,47
2024-DEP-47,LVB,A,2015,D,3094.0,47
2024-DEP-47,LVB,A,2023,D,2756.0,47
2024-DEP-47,LVB,A,2021,D,2875.0,47
2024-DEP-48,LVB,A,2019,D,578.0,48
2024-DEP-48,LVB,A,2018,D,580.0,48
2024-DEP-48,LVB,A,2016,D,661.0,48
2024-DEP-48,LVB,A,2017,D,595.0,48
2024-DEP-48,LVB,A,2022,D,583.0,48
2024-DEP-48,LVB,A,2021,D,604.0,48
2024-DEP-48,LVB,A,2024,PROV,501.0,48
2024-DEP-48,LVB,A,2015,D,694.0,48
2024-DEP-48,LVB,A,2020,D,525.0,48
2024-DEP-48,LVB,A,2023,D,562.0,48
2024-DEP-49,LVB,A,2020,D,8384.0,49
2024-DEP-49,LVB,A,2024,PROV,7786.0,49
2024-DEP-49,LVB,A,2017,D,8984.0,49
2024-DEP-49,LVB,A,2021,D,8742.0,49
2024-DEP-49,LVB,A,2015,D,9421.0,49
2024-DEP-49,LVB,A,2019,D,8483.0,49
2024-DEP-49,LVB,A,2023,D,7945.0,49
2024-DEP-49,LVB,A,2022,D,8480.0,49
2024-DEP-49,LVB,A,2018,D,8776.0,49
2024-DEP-49,LVB,A,2016,D,9104.0,49
2024-DEP-50,LVB,A,2024,PROV,3948.0,50
2024-DEP-50,LVB,A,2023,D,3938.0,50
