REF_AREA,TIME_PERIOD,OBS_VALUE,Code,Trimestre
D02,2005-Q4,11.4,02,T4_2005
D02,2005-Q3,11.1,02,T3_2005
D02,2005-Q2,10.7,02,T2_2005
D02,2005-Q1,10.4,02,T1_2005
D02,2004-Q4,10.6,02,T4_2004
D02,2004-Q3,10.5,02,T3_2004
D02,2004-Q2,10.4,02,T2_2004
D02,2004-Q1,10.5,02,T1_2004
D02,2003-Q4,10.2,02,T4_2003
D02,2003-Q3,9.9,02,T3_2003
D02,2003-Q2,10.1,02,T2_2003
D02,2003-Q1,9.9,02,T1_2003
D02,2002-Q4,9.4,02,T4_2002
D02,2002-Q3,9.3,02,T3_2002
D02,2002-Q2,9.3,02,T2_2002
D02,2002-Q1,9.3,02,T1_2002
D02,2001-Q4,9.5,02,T4_2001
D02,2001-Q3,9.7,02,T3_2001
D02,2001-Q2,9.7,02,T2_2001
D02,2001-Q1,9.9,02,T1_2001
D02,2000-Q4,10.0,02,T4_2000
D02,2000-Q3,10.1,02,T3_2000
D02,2000-Q2,10.5,02,T2_2000
D02,2000-Q1,10.8,02,T1_2000
D02,1999-Q4,11.2,02,T4_1999
D02,1999-Q3,11.4,02,T3_1999
D02,1999-Q2,11.7,02,T2_1999
D02,1999-Q1,11.6,02,T1_1999
D02,1998-Q4,11.5,02,T4_1998
D02,1998-Q3,11.4,02,T3_1998
D02,1998-Q2,11.5,02,T2_1998
D02,1998-Q1,11.6,02,T1_1998
D02,1997-Q4,11.9,02,T4_1997
D02,1997-Q3,11.9,02,T3_1997
D02,1997-Q2,11.9,02,T2_1997
D02,1997-Q1,11.8,02,T1_1997
D02,1996-Q4,11.7,02,T4_1996
D02,1996-Q3,11.6,02,T3_1996
D02,1996-Q2,11.4,02,T2_1996
D02,1996-Q1,11.2,02,T1_1996
D02,1995-Q4,10.9,02,T4_1995
D02,1995-Q3,10.8,02,T3_1995
D02,1995-Q2,11.0,02,T2_1995
D02,1995-Q1,11.2,02,T1_1995
D02,1994-Q4,11.5,02,T4_1994
D02,1994-Q3,11.7,02,T3_1994
D02,1994-Q2,11.7,02,T2_1994
D02,1994-Q1,11.6,02,T1_1994
D02,1993-Q4,11.2,02,T4_1993
D02,1993-Q3,10.7,02,T3_1993
D02,1993-Q2,10.2,02,T2_1993
D02,1993-Q1,9.7,02,T1_1993
D02,1992-Q4,9.4,02,T4_1992
D02,1992-Q3,9.3,02,T3_1992
D02,1992-Q2,9.2,02,T2_1992
D02,1992-Q1,9.1,02,T1_1992
D02,1991-Q4,8.8,02,T4_1991
D02,1991-Q3,8.6,02,T3_1991
D02,1991-Q2,8.3,02,T2_1991
D02,1991-Q1,8.2,02,T1_1991
D02,1990-Q4,8.5,02,T4_1990
D02,1990-Q3,8.6,02,T3_1990
D02,1990-Q2,8.8,02,T2_1990
D02,1990-Q1,8.9,02,T1_1990
D02,1989-Q4,9.1,02,T4_1989
D02,1989-Q3,9.1,02,T3_1989
D02,1989-Q2,9.3,02,T2_1989
D02,1989-Q1,9.7,02,T1_1989
D02,1988-Q4,10.0,02,T4_1988
D02,1988-Q3,10.2,02,T3_1988
D02,1988-Q2,10.2,02,T2_1988
D02,1988-Q1,10.4,02,T1_1988
D02,1987-Q4,10.3,02,T4_1987
D02,1987-Q3,10.3,02,T3_1987
D02,1987-Q2,10.4,02,T2_1987
D02,1987-Q1,10.6,02,T1_1987
D02,1986-Q4,10.6,02,T4_1986
D02,1986-Q3,10.5,02,T3_1986
D02,1986-Q2,10.4,02,T2_1986
D02,1986-Q1,10.2,02,T1_1986
D02,1985-Q4,10.4,02,T4_1985
D02,1985-Q3,10.4,02,T3_1985
D02,1985-Q2,10.3,02,T2_1985
D02,1985-Q1,10.5,02,T1_1985
D02,1984-Q4,10.5,02,T4_1984
D02,1984-Q3,10.4,02,T3_1984
D02,1984-Q2,10.1,02,T2_1984
D02,1984-Q1,9.6,02,T1_1984
D02,1983-Q4,9.1,02,T4_1983
D02,1983-Q3,8.7,02,T3_1983
D02,1983-Q2,8.5,02,T2_1983
D02,1983-Q1,8.5,02,T1_1983
D02,1982-Q4,8.4,02,T4_1982
D02,1982-Q3,8.5,02,T3_1982
